측정일자,권역명,측정소명,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm)
20231025,서남권,동작구,30,20,0.0322,0.0253,0.46,0.0028
20231025,서남권,관악구,36,20,0.0304,0.0307,0.56,0.0032
20231025,서남권,금천구,29,19,0.0294,0.0288,0.52,0.0029
20231025,서남권,양천구,35,21,0.0301,0.0315,0.54,0.0031
20231025,동남권,강남구,37,25,0.0272,0.0304,0.46,0.0036
20231025,동남권,서초구,47,29,0.0221,0.0293,0.48,0.0026
20231025,동남권,송파구,33,22,0.0242,0.0341,0.52,0.0028
20231025,동남권,강동구,47,33,0.0187,0.0344,0.83,0.0027
20231024,도심권,중구,28,21,0.0227,0.0331,0.55,0.0032
20231024,도심권,종로구,31,21,0.0245,0.0312,0.58,0.0037
20231024,도심권,용산구,32,20,0.0208,0.0341,0.54,0.0036
20231024,서북권,은평구,36,22,0.0288,0.0226,0.52,0.0029
20231024,서북권,서대문구,34,25,0.0289,0.0274,0.63,0.0023
20231024,서북권,마포구,32,20,0.0261,0.0337,0.57,0.0027
20231024,동북권,광진구,30,19,0.0211,0.0308,0.64,0.0024
20231024,동북권,성동구,30,19,0.0207,0.0274,0.42,0.0028
20231024,동북권,중랑구,31,19,0.0219,0.0278,0.48,0.0024
20231024,동북권,동대문구,34,20,0.0246,0.0317,0.53,0.0034
20231024,동북권,성북구,38,23,0.0223,0.0281,0.51,0.0023
20231024,동북권,도봉구,31,23,0.0243,0.0261,0.66,0.0027
20231024,동북권,강북구,30,19,0.0275,0.0193,0.5,0.0023
20231024,동북권,노원구,31,21,0.0228,0.0286,0.56,0.0029
20231024,서남권,강서구,33,18,0.0299,0.0271,0.54,0.0032
20231024,서남권,구로구,35,23,0.0225,0.0225,0.38,0.0023
20231024,서남권,영등포구,31,21,0.0283,0.0301,0.53,0.0031
20231024,서남권,동작구,31,19,0.0266,0.0287,0.48,0.0028
20231024,서남권,관악구,36,20,0.0271,0.0325,0.58,0.0031
20231024,서남권,금천구,32,20,0.0245,0.0332,0.52,0.0028
20231024,서남권,양천구,34,20,0.0299,0.0283,0.5,0.0031
20231024,동남권,강남구,33,21,0.0218,0.0308,0.46,0.0034
20231024,동남권,서초구,45,27,0.0175,0.0304,0.48,0.0024
20231024,동남권,송파구,33,20,0.0177,0.0346,0.52,0.0026
20231024,동남권,강동구,45,29,0.0178,0.0312,0.88,0.0028
